,EquipmentNumber,EquipmentModel,EquipmentMake,compartid,compart,compartsn,oiltypeid,oilgradeid,coolantid,notesos,sampledate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,Problem Solved,Action Taken,Water,V40,V100,VI,GC Fuel,GC Glycol,Color,S-Color,Colour Desc,Appearance,Oil_contamin,Precip_Amount,Precip_Appear,Precip_Contam,Precip_Contam_Properties,Odor,Foaming,pH Coolant,Cond,MO4 raw,FPoint,Glycol,BP,KF Water,Fe,Cu,Pb,Sn,Cr,Ni,Ti,Al,Si,Na,K,B,Ca,Mg,P ,Zn,Mo,Li,Sb,Ba,Cd,Mn,Ag,V,4u,6u,14u,21u,38u,70u,ISO,Cutting,Sliding,Fatigue,Non Metallic,Fibers,Total Part/ml,NO2,pqL Index,Soot,OXI,NIT,Sulf,AW,FT-IR Glycol,FT-IR Water,Cap Inspect,DamageDelta
183,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate Analysis is acceptable for the operating time on the oil. Total Ferrous Debris (pqL) index appears acceptable. Particle count indicates high particulate contamination increase from previous sample. Resample ASAP to verify these results prior to any additional corrective action.,2017-07-17,,170.0,170.0,82314.0,False,False,C,False,False,,,6.68,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,7,0,0,4,3237,11,860,1061,1,0,0,0,0,0,0,0,14520,5129,121,33,9,1,21/20/14,11,3,40,42,1,14520,,5,0.0,6,3.0,12.0,15,0.0,9,,
184,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-07-17,,170.0,170.0,82314.0,False,False,A,False,False,,,15.05,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,3,2,3,2,463,1522,371,1075,1249,89,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,23.0,17,7.0,22.0,24,0.0,14,,
185,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-06,,1776.0,1776.0,82144.0,True,True,A,False,False,,,6.55,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,2,8,1,1,5,3129,11,833,1047,1,0,0,0,0,0,0,0,1547,486,35,11,0,0,18/16/12,7,2,7,17,2,1547,,0,0.0,6,3.0,13.0,16,0.0,12,,
186,473.0,EH5000,EUCLID         ,HYAF,Hydraulic System After,,CHEVRON HD,10WT,,Fine metal Wear Rate Analysis by ICP of particles less than 10 microns appears acceptable.Total Ferrous Debris (pqL) index appears acceptable.Oil Condition Analysis  test results are acceptable.Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.,2017-07-06,,82144.0,82144.0,82144.0,False,True,C,False,False,,,6.65,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,2,8,1,1,4,3125,11,828,1045,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0.0,5,3.0,14.0,16,0.0,13,B1,
187,473.0,EH5000,EUCLID         ,HYBE,Hydraulic System Before,,CHEVRON HD,10WT,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-06,,15555.0,15555.0,82144.0,False,False,A,False,False,,,6.54,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,1,8,1,1,4,3053,11,835,1029,1,0,0,0,0,0,0,0,848,239,17,4,2,0,17/15/11,0,2,2,8,0,848,,0,0.0,6,3.0,13.0,16,0.0,12,,
188,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-07-06,,477.0,477.0,82144.0,True,False,A,False,False,,626.8,64.29,175,,,,,,,,,,,,,,,,,,,,,120,0,0,0,1,2,0,1,10,1,0,20,47,0,268,6,0,0,0,0,0,1,0,0,86526,17240,567,94,17,0,24/21/16,19,77,186,113,11,86526,,22,,30,,,14,,6,,
189,473.0,EH5000,EUCLID         ,RFW,Right Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-07-06,,477.0,477.0,82144.0,True,False,A,False,False,,649.6,66.77,177,,,,,,,,,,,,,,,,,,,,,94,0,0,0,1,2,0,1,17,0,1,20,31,0,292,3,0,0,1,0,0,1,0,0,140319,25807,546,107,25,5,24/22/16,36,116,162,156,17,140319,,30,,32,,,13,,5,,
190,473.0,EH5000,EUCLID         ,LRF,Left Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-07-06,,883.0,883.0,82144.0,True,False,A,False,False,,675.5,73.72,189,,,,,,,,,,,,,,,,,,,,,124,2,0,0,0,1,0,0,1,0,1,20,32,0,271,2,0,0,0,0,0,1,0,0,367643,65752,1165,158,13,0,26/23/17,57,153,460,159,80,367643,,31,,30,,,14,,5,,
191,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-07-06,,883.0,883.0,82144.0,True,False,A,False,False,,638.1,74.23,197,,,,,,,,,,,,,,,,,,,,,190,5,0,0,0,1,0,0,4,0,1,22,22,0,245,2,0,0,0,0,0,1,0,0,846723,168831,5859,636,24,2,27/25/20,239,844,2242,888,43,846723,,101,,31,,,14,,5,,
192,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-07-06,,477.0,477.0,82144.0,True,True,A,False,False,,,15.71,,,,,,,,,,,,,,,,,,,,,,13,1,0,0,0,0,0,4,2,1,2,425,1638,389,1061,1290,96,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5,53.0,21,10.0,26.0,23,0.0,18,,
193,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-06-27,,313.0,313.0,81980.0,False,False,A,False,False,,,15.34,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,3,2,3,1,460,1559,371,1055,1262,94,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,29.0,18,8.0,23.0,22,0.0,15,,
194,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval and any time the oil is changed.,2017-06-27,,719.0,719.0,81980.0,False,False,A,False,False,,648.5,73.82,194,,,,,,,,,,,,,,,,,,,,,173,4,0,1,0,1,0,0,4,0,1,19,44,0,250,7,0,0,0,0,0,1,0,0,1362582,293223,3209,296,20,0,28/25/19,86,788,1553,52,12,1362582,,116,,30,,,14,,5,,
195,473.0,EH5000,EUCLID         ,LRF,Left Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-06-27,,719.0,719.0,81980.0,False,False,A,False,False,,645.5,73.43,194,,,,,,,,,,,,,,,,,,,,,111,2,0,0,0,1,0,0,1,0,1,18,30,0,275,2,0,0,0,0,0,1,0,0,329928,67380,880,64,0,0,26/23/17,17,81,303,16,0,329928,,31,,30,,,14,,4,,
196,473.0,EH5000,EUCLID         ,RFW,Right Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval and any time the oil is changed.,2017-06-27,,313.0,313.0,81980.0,False,False,A,False,False,,612.6,66.53,184,,,,,,,,,,,,,,,,,,,,,75,0,0,0,1,1,0,1,15,0,1,21,30,0,284,2,0,0,0,0,0,0,0,0,80940,18289,176,8,0,0,24/21/15,10,37,66,8,2,80940,,27,,31,,,13,,5,,
197,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval and any time the oil is changed.,2017-06-27,,313.0,313.0,81980.0,False,False,A,False,False,,616.8,63.87,176,,,,,,,,,,,,,,,,,,,,,83,0,0,0,1,1,0,1,8,0,1,23,31,0,286,2,0,0,0,0,0,1,0,0,84975,23387,519,93,13,4,24/22/16,21,58,241,16,26,84975,,26,,30,,,13,,5,,
198,473.0,EH5000,EUCLID         ,H,Hydraulic System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-27,,719.0,719.0,81980.0,False,False,A,False,False,,,6.69,,,,,,,,,,,,,,,,,,,,,,2,0,6,0,0,0,0,2,7,2,1,5,3105,11,863,1038,1,0,0,0,0,0,0,0,6143,2663,331,105,3,0,20/19/16,28,14,114,109,1,6143,,11,0.0,5,3.0,13.0,15,0.0,12,,
199,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate Analysis is acceptable for the operating time on the oil. Total Ferrous Debris (pqL) index appears acceptable. Particle count indicates continued high particulate contamination. If applicable; inspect filter(s) for visual and microscopic metal debris as a precaution. Larger wear particles; if present; may be contained in the filter. Consider ultra-high efficiency filter elements OR kidney loop filtration to reduce particulate contamination for maximum component life. Target is ISO 18/15. Resample after 50 hours to monitor closely for increasing particulate contamination.,2017-06-27,,1612.0,1612.0,81980.0,False,False,C,False,False,,,6.8,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,0,0,1,8,2,1,3,3199,10,847,1026,1,0,0,0,0,0,0,0,15692,5800,168,29,3,0,21/20/15,5,9,49,46,0,15692,,6,0.0,6,3.0,13.0,15,0.0,11,,
200,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate Analysis is acceptable for the operating time on the oil. Total Ferrous Debris (pqL) index appears elevated indicating an increasing amount of larger-sized iron particulate. Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.,2017-06-22,,637.0,637.0,81898.0,False,,C,False,False,Neg,630.9,73.61,197,,,,,,,,,,,,,,,,,,,,,137,3,0,0,0,1,0,0,3,0,1,18,24,0,261,2,0,0,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,8,,30,,,14,,5,A1,
201,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate Analysis is acceptable for the operating time on the oil. Total Ferrous Debris (pqL) index appears elevated indicating an increasing amount of larger-sized iron particulate. Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.,2017-06-11,,1299.0,1299.0,81667.0,False,True,C,False,False,Neg,,6.75,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,0,0,0,1,23,4,1,6,3076,12,825,999,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,11,0.0,6,3.0,13.0,16,0.0,11,A1,
202,473.0,EH5000,EUCLID         ,H,Hydraulic System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-11,,406.0,406.0,81667.0,False,True,A,False,False,Neg,,6.65,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,1,0,0,2,6,4,1,5,3050,10,830,1020,1,0,0,0,0,0,0,0,11499,5040,636,175,5,0,21/20/16,55,23,80,351,0,11499,,5,0.0,5,3.0,14.0,16,0.0,14,,
203,473.0,EH5000,EUCLID         ,RRF,Right Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate Analysis is acceptable for the operating time on the oil. Total Ferrous Debris (pqL) index appears elevated indicating an increasing amount of larger-sized iron particulate. Cap inspection indicates visible non-metallic debris is in the sample. Oil is too contaminated to obtain particle count analysis test results. Resample ASAP to verify these results prior to any additional corrective action.,2017-06-11,,406.0,406.0,81667.0,False,,C,False,False,Neg,661.8,73.55,191,,,,,,,,,,,,,,,,,,,,,98,3,0,1,0,1,0,0,2,0,0,15,34,0,227,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,63,,30,,,14,,4,A1,
204,473.0,EH5000,EUCLID         ,LRF,Left Rear Final Drive,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-11,,406.0,406.0,81667.0,False,,A,False,False,Neg,648.8,73.62,194,,,,,,,,,,,,,,,,,,,,,65,1,0,0,0,0,0,0,1,0,0,15,25,0,234,2,0,0,0,0,0,1,0,0,173562,30829,670,91,10,5,25/22/17,32,74,225,146,5,173562,,22,,30,,,14,,5,,
205,473.0,EH5000,EUCLID         ,RFW,Right Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-06-11,,406.0,406.0,81667.0,True,,A,False,False,Neg,628,72.99,196,,,,,,,,,,,,,,,,,,,,,61,0,0,0,1,1,0,1,11,0,0,17,22,0,235,2,0,0,0,0,0,0,0,0,95439,19297,440,68,11,0,24/21/16,27,73,117,152,13,95439,,26,,32,,,14,,5,,
206,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-11,,406.0,406.0,81667.0,True,,A,False,False,Neg,553.2,73.37,214,,,,,,,,,,,,,,,,,,,,,73,0,0,0,1,1,0,1,7,0,0,18,22,0,234,1,0,0,0,0,0,1,0,0,61460,12484,677,148,18,8,23/21/17,25,95,240,183,9,61460,,20,,30,,,14,,5,,
207,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-11,,406.0,406.0,81667.0,True,True,A,False,False,Neg,,15.96,,,,,,,,,,,,,,,,,,,,,,13,1,0,0,0,0,0,3,2,2,3,423,1622,405,1101,1328,98,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,48.0,22,10.0,26.0,24,0.0,18,,
208,473.0,EH5000,EUCLID         ,E,Engine,,CHEVRON DELO 400 LE,15W40,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-06-01,,259.0,259.0,81520.0,False,,A,False,False,Neg,,15.49,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,2,2,1,0,464,1548,381,1094,1237,96,0,1,0,0,0,0,0,,,,,,,,,,,,,,,5,28.0,19,8.0,23.0,23,0.0,15,,
209,473.0,EH5000,EUCLID         ,H,Hydraulic System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-01,,259.0,259.0,81520.0,False,,A,False,False,Neg,,6.66,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,0,1,7,0,0,5,3148,11,869,1059,1,0,0,0,0,0,0,0,11385,4801,585,197,31,0,21/19/16,43,26,199,205,1,11385,,0,0.0,5,3.0,13.0,15,0.0,11,,
210,473.0,EH5000,EUCLID         ,S,Steering System,,CHEVRON DELO TORQFORCE (Formerly Drive Train HD),10WT,,Wear Rate; Oil Condition and Total Ferrous Debris (pqL) index are acceptable. Particle count indicates acceptable particulate contamination. No action required. Continue to build a reliable operating trend. Sample again at the next scheduled service interval.,2017-06-01,,1152.0,1152.0,81520.0,False,,A,False,False,Neg,,6.74,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,25,0,0,6,3019,12,832,990,2,0,0,0,0,0,0,0,11413,4767,317,49,5,0,21/19/15,15,8,26,75,0,11413,,0,0.0,6,3.0,13.0,16,0.0,11,,
211,473.0,EH5000,EUCLID         ,LFW,Left Front Wheel,,CHEVRON TEGRA ,ISO 680,,Wear Rate; Oil Condition and Particle Generated Analysis are acceptable for this sample. No action is required at this time. Please continue to build a reliable operating trend by sampling at the next regular scheduled service interval.,2017-06-01,,259.0,259.0,81520.0,,,A,False,False,Neg,630.8,71.51,192,,,,,,,,,,,,,,,,,,,,,60,0,0,0,1,1,0,0,8,0,0,22,25,0,265,1,0,0,0,0,0,0,0,0,38726,11297,163,18,0,0,22/21/15,6,15,62,6,0,38726,,16,,30,,,13,,4,,
